,City,lat,lon,dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust
52,hermanus,-77.885,2.8396,1657410308,-49.65,-62.25,1021,100,-49.65,0.0,92,10000,12.33,29,11.5
53,sahrak,34.3349,64.9599,1657410310,45.1,43.47,1009,34,19.96,0.0,0,10000,3.71,9,3.44
54,mayo,63.8957,-133.9802,1657410311,63.12,62.04,1005,62,49.91,1.93,70,10000,4.72,300,6.46
55,ushuaia,-88.5619,-43.2463,1657410313,-63.24,-75.84,1036,100,-63.24,0.0,100,10000,11.77,116,13.35
56,marfino,45.9256,48.7781,1657410315,76.98,77.25,1008,61,62.51,0.0,1,10000,11.14,55,18.48
57,bredasdorp,-36.9536,20.3716,1657410316,59.95,59.27,1014,77,52.74,0.0,24,10000,20.87,191,20.56
58,klaksvik,72.8583,-2.9045,1657410318,41.49,35.85,1016,90,38.79,0.06,100,10000,9.15,238,10.92
59,barrow,79.2974,-158.3358,1657410320,33.04,29.61,1010,97,32.29,1.8,100,10000,3.71,204,3.8
60,vaini,-58.6285,-175.7824,1657410321,30.47,17.87,983,81,25.93,0.18,100,4741,36.51,189,41.43
61,vaini,-37.5445,-167.5787,1657410323,59.68,59.34,1014,85,55.17,2.16,12,10000,27.65,271,35.95
62,bluff,-62.5754,161.1869,1657410325,32.81,21.79,1002,96,31.82,0.0,100,10000,17.47,278,29.71
63,malanje,-10.5318,16.3314,1657410326,57.97,55.26,1016,38,32.54,0.0,22,10000,2.39,166,2.62
64,hermanus,-59.4876,9.2398,1657410328,23.79,14.95,993,95,22.71,0.0,62,10000,7.85,46,12.15
65,george town,18.9505,-81.7969,1657410330,83.7,91.42,1016,75,74.93,0.0,4,10000,14.14,71,15.1
66,vao,-29.5161,167.83,1657410331,64.53,64.87,1017,89,61.21,1.82,100,7778,9.75,10,8.16
67,westport,-36.9394,165.5013,1657410333,58.73,58.24,1010,84,53.91,1.56,30,10000,26.57,277,30.06
68,mogadishu,0.5361,46.1652,1657410334,76.26,77.31,1013,79,69.28,0.0,21,10000,24.25,193,27.29
69,bathsheba,18.3402,-47.1898,1657410336,79.05,79.05,1021,81,72.72,0.0,99,10000,21.14,69,24.74
70,am timan,10.915,21.2771,1657410338,73.06,73.87,1010,81,66.88,0.0,73,10000,4.09,221,7.65
71,catamarca,-27.802,-65.8621,1657410339,72.05,69.57,1005,13,20.07,0.0,0,10000,13.73,311,30.51
72,tuktoyaktuk,81.3698,-121.4699,1657410341,33.1,26.06,1010,91,30.9,1.81,100,10000,8.21,262,11.12
73,bredasdorp,-55.4932,18.6851,1657410343,28.58,22.71,1001,85,25.11,0.0,99,10000,5.37,315,7.16
74,kawalu,-14.0965,107.407,1657410344,78.78,78.78,1014,61,64.2,0.15,97,10000,21.14,122,23.11
75,dikson,75.3192,76.4122,1657410346,35.55,25.75,1010,92,33.46,0.19,99,10000,16.13,288,24.14
76,barrow,78.1157,-151.6433,1657410347,33.17,27.01,1012,96,32.16,2.24,100,10000,6.85,217,8.48
77,rubtsovsk,51.5203,81.0155,1657410349,60.17,60.06,1008,89,56.91,0.3,60,10000,4.43,74,6.76
78,ushuaia,-63.1114,-60.3292,1657410351,9.39,1.78,994,97,8.78,0.0,92,2087,4.12,158,12.53
79,vao,-23.8385,167.8974,1657410352,76.37,77.32,1015,77,68.63,4.17,58,10000,19.3,33,26.31
80,carnarvon,-24.3548,108.82,1657410354,66.72,66.0,1021,62,53.31,0.05,98,10000,21.39,166,21.03
81,ushuaia,-87.7785,-84.3029,1657410355,-57.62,-70.22,1030,99,-57.77,0.0,100,10000,16.37,148,25.61
82,kodiak,42.8397,-158.5977,1657410357,62.38,62.65,1028,92,60.03,7.39,1,10000,20.09,239,30.8
83,hermanus,-74.6,5.8883,1657410358,-47.6,-60.2,1017,98,-47.9,0.0,97,10000,11.92,73,11.03
84,hobart,-54.5452,144.6326,1657410360,39.22,26.62,1012,89,36.25,0.14,99,10000,36.06,351,56.59
85,mugan,40.2395,48.6926,1657410362,76.26,75.33,1006,37,48.11,0.0,6,10000,1.95,114,2.66
86,praia da vitoria,44.7997,-23.2155,1657410363,64.35,64.0,1027,75,56.26,0.0,70,10000,7.81,24,8.34
87,airai,5.4899,138.6995,1657410365,81.59,87.35,1010,78,74.07,5.47,78,5004,7.34,70,8.05
88,nikolskoye,43.6443,165.639,1657410366,52.45,51.76,1017,93,50.49,7.71,0,10000,11.21,58,14.99
89,avarua,-35.6951,-165.9274,1657410368,63.05,62.91,1017,82,57.47,2.44,12,10000,25.81,271,35.54
90,san pedro,-18.1066,-59.6738,1657410370,77.5,76.98,1010,43,53.28,0.0,7,10000,4.81,12,13.65
91,mar del plata,-43.5497,-50.5287,1657410371,54.64,54.18,1013,93,52.66,0.0,66,10000,22.57,9,33.91
92,yellowknife,70.8992,-108.26,1657410373,74.75,73.47,1011,33,43.77,1.67,7,10000,6.33,85,4.88
93,bengkulu,-13.2677,87.0928,1657410375,78.53,80.08,1013,85,73.63,0.0,64,10000,24.4,110,29.12
94,cayenne,10.0884,-48.0059,1657410376,80.89,84.94,1016,73,71.42,0.0,100,10000,21.47,66,25.17
95,busselton,-53.1261,102.7876,1657410378,31.87,19.27,978,96,30.99,0.0,100,193,26.28,13,33.06
96,qaanaaq,77.0085,-72.3814,1657410380,36.84,30.02,1010,87,33.35,0.82,44,10000,9.4,334,10.49
97,russell,-28.0488,179.633,1657410381,69.44,69.84,1022,80,63.01,4.26,48,10000,11.7,12,11.52
98,grand river south east,-25.8043,83.3969,1657410383,62.35,61.2,1026,62,49.17,0.0,98,10000,14.9,120,14.63
99,sestri levante,43.912,9.2188,1657410384,69.04,68.9,1017,69,58.46,0.0,44,10000,4.5,125,4.21
100,kavieng,3.3014,151.4448,1657410386,84.2,90.57,1010,69,72.93,8.73,28,10000,12.66,110,13.49
101,tomatlan,16.198,-109.9181,1657410387,80.89,86.74,1013,83,75.24,0.47,100,10000,10.58,94,13.29
102,busselton,-82.1462,84.0749,1657410389,-73.46,-86.06,1042,100,-73.46,0.0,100,2389,9.06,193,9.71
103,barrow,75.1539,-161.5251,1657410391,33.35,24.46,1010,99,33.1,2.98,100,244,12.03,141,22.75
104,cape town,-64.5499,0.0174,1657410392,0.95,-6.0,992,100,0.95,0.0,100,3579,3.09,77,2.84
105,atambua,-8.339,127.6867,1657410394,79.63,79.63,1013,66,67.28,2.7,99,10000,18.79,141,19.95
106,lagoa,50.1,-35.8555,1657410396,56.82,56.07,1016,82,51.39,0.0,100,10000,10.0,92,11.12
107,zhangjiakou,42.6731,115.1713,1657410397,70.02,68.5,1005,38,43.27,2.22,10,10000,7.18,210,8.08
108,kontagora,10.9413,4.81,1657410399,76.66,78.06,1013,86,72.16,0.0,94,10000,8.34,206,19.84
109,avera,-22.1623,-154.7225,1657410400,72.09,71.73,1020,58,56.52,4.21,0,10000,12.48,119,12.44
110,mataura,-22.3813,-148.5191,1657410402,72.57,72.3,1020,59,57.43,3.57,27,10000,17.69,124,17.16
111,mataura,-56.8454,-155.233,1657410404,38.5,25.9,955,93,36.66,0.03,100,10000,50.06,8,70.55
112,kapaa,39.055,-166.7121,1657410405,70.95,71.6,1030,82,65.19,6.57,100,10000,8.52,150,9.69
113,atuona,8.7518,-134.3317,1657410407,75.56,76.86,1012,86,71.08,1.56,100,10000,14.67,193,15.17
114,cayenne,12.5444,-42.4159,1657410408,78.82,78.82,1017,79,71.74,0.0,100,10000,20.13,74,25.93
115,te anau,-44.5085,158.318,1657410410,48.42,40.86,1028,67,37.98,0.43,100,10000,23.64,154,25.21
116,belushya guba,78.8347,48.1015,1657410411,36.36,27.03,1010,95,35.06,0.18,100,10000,15.43,295,19.3
117,lebu,-38.8734,-86.3841,1657410413,51.1,49.01,1012,66,40.15,0.0,25,10000,22.88,186,24.76
118,mecca,20.5997,40.0187,1657410415,86.72,83.93,1002,26,47.77,0.0,93,10000,4.54,48,4.79
119,ushuaia,-88.8537,-51.1824,1657410416,-65.9,-78.5,1040,100,-65.9,0.0,100,10000,10.31,116,9.66
120,ushuaia,-72.8933,-30.3265,1657410418,-1.95,-14.55,982,97,-2.52,0.0,100,571,6.33,86,7.16
121,kruisfontein,-53.7207,25.7726,1657410419,31.66,19.06,1007,89,29.12,0.0,79,10000,29.21,326,38.86
122,saint george,28.2597,-51.355,1657410421,77.18,77.94,1027,71,67.05,0.0,42,10000,11.79,104,12.39
123,ribeira grande,26.8638,-37.9617,1657410423,73.81,74.05,1026,67,62.19,0.0,44,10000,16.28,59,17.22
124,kyra,48.8342,111.7876,1657410424,57.79,56.34,1006,65,46.13,1.84,33,10000,5.68,273,10.22
125,ushuaia,-77.7921,-34.006,1657410426,-6.3,-18.9,986,93,-7.65,0.0,100,1062,16.26,34,30.09
126,ushuaia,-82.446,-24.831,1657410428,-18.27,-30.87,996,97,-18.81,0.0,100,2997,12.03,80,19.91
127,eureka,40.7708,-125.6069,1657410429,60.94,60.87,1024,88,57.36,3.76,3,10000,16.71,342,23.22
128,kahului,37.0201,-145.0803,1657410431,67.77,68.09,1031,82,62.08,5.0,99,10000,7.07,11,6.33
129,talnakh,77.9962,88.7311,1657410433,31.28,23.74,1002,98,30.85,0.44,100,3019,8.39,330,9.06
130,punta arenas,-64.7294,-91.3996,1657410434,31.84,19.24,1000,88,29.07,0.0,100,10000,31.76,338,45.12
131,vaini,-40.6839,-178.3614,1657410436,51.87,49.24,1021,53,35.31,1.45,82,10000,18.97,201,19.1
132,busselton,-67.2125,80.6637,1657410438,-16.46,-29.06,975,65,-23.96,0.0,28,10000,11.86,133,19.84
